post_id,comment_id,cluster_label
11,849,1
11,852,0
11,853,0
11,4362,2
11,4454,1
11,6929,2
11,63904,0
11,63905,0
33,1463,1
33,1460,2
33,1421,0
33,526,1
33,442,2
33,24,2
33,119,0
33,10,1
33,6,2
33,428,0
38,28,1
38,29,2
38,27,0
38,23,1
38,21,1
38,19,2
38,15,0
59,12,1
59,189,1
59,842,2
59,6706,1
59,6906,1
59,6938,1
59,7057,0
64,191,1
64,190,0
64,88,0
64,48,0
64,54,1
64,49,0
64,86,2
67,11872,2
67,14746,1
67,11892,2
67,11874,1
67,11871,2
67,2558,2
67,5863,0
67,3677,1
67,5865,1
67,2291,1
67,2277,0
69,32737,1
69,30224,0
69,33601,1
69,810,1
69,18,1
69,29948,2
77,9920,1
77,11294,0
77,98747,0
77,140777,2
77,543085,1
77,656615,2
77,1325779,1
79,17494,1
79,17379,0
79,17376,1
79,39,2
79,31,0
79,150,2
109,36,0
109,42,2
109,508124,2
109,756205,2
109,812097,2
109,882609,2
125,553941,1
125,552721,1
125,542284,2
125,47,0
125,69,1
125,515249,2
126,2513,0
126,29682,1
126,2269,2
126,404,1
126,674,0
126,2181,2
147,1341454,1
147,1341453,1
147,1092425,2
147,1092082,2
147,834660,1
147,670461,2
147,542292,0
147,488973,1
147,488743,0
147,205931,2
147,9233,2
147,598578,1
152,194596,2
152,372759,1
152,194586,0
152,650671,0
152,51509,1
152,126,2
152,51550,1
165,83,0
165,262,0
165,279,0
165,595,0
165,113457,2
165,453860,1
165,714145,1
174,966788,1
174,845917,0
174,763227,1
174,694365,0
174,690695,0
174,280822,0
174,572755,0
174,297175,2
174,66415,0
174,672291,2
175,169,2
175,98379,1
175,165,0
175,100,2
175,151,2
175,111,2
175,153,2
181,99,1
181,106,2
181,115,1
181,116,1
181,118,0
181,231,1
181,233,2
181,246,1
192,170742,1
192,149471,1
192,5870,1
192,704,0
192,5889,1
192,573,0
192,130,0
192,102,2
192,579,0
233,1325454,2
233,1109778,2
233,1106280,1
233,1190746,2
233,949162,2
233,872072,0
233,976572,1
291,1825,1
291,1848,1
291,561497,0
291,1097625,2
291,1136317,0
291,1178680,2
336,45630,0
336,98380,1
336,35114,2
336,173979,0
336,17234,0
336,19626,0
336,12404,1
359,1352,1
359,1555,1
359,1590,1
359,1623,1
359,1625,1
359,7521,1
359,21625,2
359,22200,2
359,108814,0
367,1303582,2
367,1170272,1
367,1169692,0
367,1090662,1
367,692679,0
367,467071,1
367,1040518,0
367,132504,0
367,33315,0
367,23421,0
367,12120,0
367,3279,0
367,253,0
367,279250,0
369,777498,0
369,574018,2
369,498613,2
369,370203,0
369,43123,1
369,3076,1
369,481,1
369,497,1
369,479,1
369,298,1
369,261,1
369,3070,1
377,359,0
377,364,0
377,268,0
377,267,1
377,260,0
377,259,0
377,258,2
389,1351,2
389,12666,0
389,673699,1
389,934981,0
389,934982,0
389,934983,0
389,934984,0
400,995958,1
400,99361,2
400,3265,0
400,325,0
400,281,0
400,287,2
400,285,2
400,303,2
411,13540,2
411,13609,1
411,4246,1
411,293,0
411,292,0
411,290,0
411,4227,0
413,486553,1
413,297,0
413,313,0
413,320,0
413,480956,2
413,486552,1
445,95422,2
445,33743,0
445,488,2
445,356,0
445,358,0
445,166513,2
445,453,0
445,1197722,1
477,443,0
477,459,2
477,26746,1
477,438,2
477,379,0
477,386,2
477,375,0
487,378,2
487,380,2
487,381,2
487,382,1
487,383,0
487,393,1
487,466,2
488,782691,1
488,1283594,1
488,786278,1
488,786259,1
488,782696,2
488,721163,2
488,717809,0
488,721164,0
488,564025,0
488,384887,1
488,243821,1
488,430,2
488,408,2
488,402,2
488,388,0
488,635095,0
513,8063,1
513,3315,1
513,741,0
513,421,2
513,415,2
513,439,2
525,426,1
525,431,1
525,451,2
525,455,0
525,406779,0
525,406781,1
525,406792,2
536,675,1
536,739,0
536,668,1
536,657,2
536,653,1
536,663,0
543,366676,2
543,366622,1
543,366816,1
543,458,0
543,456,0
543,463,0
549,19179,0
549,610966,0
549,862633,0
549,862644,2
549,1020754,0
549,1020756,1
549,1020757,2
556,207334,1
556,507,0
556,1092647,0
556,474,0
556,473,0
556,475,0
577,1870,2
577,1869,2
577,1864,0
577,1685,1
577,2109,2
577,782,0
577,510,2
577,508,0
577,820,1
594,5976,0
594,8865,0
594,47084,0
594,98433,0
594,126332,0
594,311649,1
605,545,0
605,384865,1
605,52427,2
605,775,0
605,553,2
605,539,0
605,540,2
605,530,0
605,511,0
605,512,1
605,516,0
605,536,1
605,520,0
605,517,1
607,4303,0
607,5261,1
607,5270,0
607,5272,1
607,5273,0
607,5274,2
607,5275,0
607,5276,0
607,9970,2
607,10418,2
621,280018,2
621,59768,0
621,328331,2
621,6930,1
621,4904,2
621,6969,1
622,61187,0
622,60784,0
622,41942,2
622,41941,2
622,41965,1
622,9504,2
622,9503,2
622,5533,1
622,555,1
622,41938,2
640,533,2
640,554,0
640,2267,0
640,433124,1
640,441961,1
640,1142005,1
652,928223,1
652,308350,0
652,817,2
652,571,1
652,567,2
652,614,2
659,950615,0
659,28579,1
659,161076,0
659,509263,1
659,543968,2
659,666261,0
659,755198,1
659,950354,2
659,999663,2
682,19901,0
682,759,1
682,26428,2
682,680,1
682,635,0
682,750,1
685,946300,2
685,388118,1
685,7464,0
685,767,0
685,636,1
685,790,0
701,308473,1
701,597,1
701,598,0
701,599,1
701,603,1
701,5212,2
701,5258,1
701,65163,1
701,248081,1
701,308344,2
701,308399,1
701,450209,0
707,686,0
707,42462,1
707,685,2
707,706,0
707,611,0
707,596,0
707,628,2
707,590,0
767,1324922,0
767,9335,0
767,1729,0
767,649,1
767,651,0
767,135,1
784,658,0
784,673,1
784,722,1
784,731,0
784,737,2
784,744,0
784,802,1
784,832,2
784,950,2
784,951,0
784,1337,2
832,252732,0
832,207065,0
